tournament,pool_id,fencer_num,fencer,opponent_num,opponent,bout_order,bout_type,cell_result,result,touches_scored,touches_allowed,score_margin,fencer_rating_pre,opp_rating_pre,strength_diff,win,fencer_bout_order,prev_win,recent_form_3
Feb NAC 2026,pool_12,4,CHENG Ethan,5,NEWMAN Noah,5,pool,V5,1,5,5,0,2654.0,1691.0,963.0,1,2,1.0,1.0
Feb NAC 2026,pool_12,4,CHENG Ethan,3,QIU Zhaocheng,9,pool,V5,1,5,5,0,2654.0,2426.0,228.0,1,3,1.0,1.0
Feb NAC 2026,pool_12,4,CHENG Ethan,6,CHO Xzander,13,pool,V5,1,5,5,0,2654.0,1952.0,702.0,1,4,1.0,1.0
Feb NAC 2026,pool_12,4,CHENG Ethan,2,DOELL Ethan,17,pool,V5,1,5,5,0,2654.0,2603.0,51.0,1,5,1.0,1.0
Feb NAC 2026,pool_12,4,CHENG Ethan,7,SIU Aiden,21,pool,V5,1,5,5,0,2654.0,3286.0,-632.0,1,6,1.0,1.0
Feb NAC 2026,pool_12,6,CHO Xzander,7,SIU Aiden,7,pool,D2,0,2,5,-3,1952.0,3286.0,-1334.0,0,2,0.0,0.0
Feb NAC 2026,pool_12,6,CHO Xzander,2,DOELL Ethan,10,pool,D1,0,1,5,-4,1952.0,2603.0,-651.0,0,3,0.0,0.0
Feb NAC 2026,pool_12,6,CHO Xzander,4,CHENG Ethan,13,pool,D4,0,4,5,-1,1952.0,2654.0,-702.0,0,4,0.0,0.0
Feb NAC 2026,pool_12,6,CHO Xzander,1,ZHANG Jacob,16,pool,D2,0,2,5,-3,1952.0,2352.0,-400.0,0,5,0.0,0.0
Feb NAC 2026,pool_12,6,CHO Xzander,5,NEWMAN Noah,19,pool,V5,1,5,5,0,1952.0,1691.0,261.0,1,6,0.0,0.0
Feb NAC 2026,pool_12,2,DOELL Ethan,3,QIU Zhaocheng,6,pool,D4,0,4,5,-1,2603.0,2426.0,177.0,0,2,1.0,1.0
Feb NAC 2026,pool_12,2,DOELL Ethan,6,CHO Xzander,10,pool,V5,1,5,5,0,2603.0,1952.0,651.0,1,3,0.0,0.5
Feb NAC 2026,pool_12,2,DOELL Ethan,7,SIU Aiden,14,pool,D2,0,2,5,-3,2603.0,3286.0,-683.0,0,4,1.0,0.6666666666666666
Feb NAC 2026,pool_12,2,DOELL Ethan,4,CHENG Ethan,17,pool,D2,0,2,5,-3,2603.0,2654.0,-51.0,0,5,0.0,0.3333333333333333
Feb NAC 2026,pool_12,2,DOELL Ethan,1,ZHANG Jacob,20,pool,V5,1,5,5,0,2603.0,2352.0,251.0,1,6,0.0,0.3333333333333333
Feb NAC 2026,pool_12,5,NEWMAN Noah,4,CHENG Ethan,5,pool,D2,0,2,5,-3,1691.0,2654.0,-963.0,0,2,0.0,0.0
Feb NAC 2026,pool_12,5,NEWMAN Noah,1,ZHANG Jacob,8,pool,D2,0,2,5,-3,1691.0,2352.0,-661.0,0,3,0.0,0.0
Feb NAC 2026,pool_12,5,NEWMAN Noah,7,SIU Aiden,11,pool,D3,0,3,5,-2,1691.0,3286.0,-1595.0,0,4,0.0,0.0
Feb NAC 2026,pool_12,5,NEWMAN Noah,3,QIU Zhaocheng,15,pool,D2,0,2,5,-3,1691.0,2426.0,-735.0,0,5,0.0,0.0
Feb NAC 2026,pool_12,5,NEWMAN Noah,6,CHO Xzander,19,pool,D1,0,1,5,-4,1691.0,1952.0,-261.0,0,6,0.0,0.0
Feb NAC 2026,pool_12,3,QIU Zhaocheng,2,DOELL Ethan,6,pool,V5,1,5,5,0,2426.0,2603.0,-177.0,1,2,1.0,1.0
Feb NAC 2026,pool_12,3,QIU Zhaocheng,4,CHENG Ethan,9,pool,D3,0,3,5,-2,2426.0,2654.0,-228.0,0,3,1.0,1.0
Feb NAC 2026,pool_12,3,QIU Zhaocheng,1,ZHANG Jacob,12,pool,D2,0,2,5,-3,2426.0,2352.0,74.0,0,4,0.0,0.6666666666666666
Feb NAC 2026,pool_12,3,QIU Zhaocheng,5,NEWMAN Noah,15,pool,V5,1,5,5,0,2426.0,1691.0,735.0,1,5,0.0,0.3333333333333333
Feb NAC 2026,pool_12,3,QIU Zhaocheng,7,SIU Aiden,18,pool,V5,1,5,5,0,2426.0,3286.0,-860.0,1,6,1.0,0.3333333333333333
Feb NAC 2026,pool_12,7,SIU Aiden,6,CHO Xzander,7,pool,V5,1,5,5,0,3286.0,1952.0,1334.0,1,2,1.0,1.0
Feb NAC 2026,pool_12,7,SIU Aiden,5,NEWMAN Noah,11,pool,V5,1,5,5,0,3286.0,1691.0,1595.0,1,3,1.0,1.0
Feb NAC 2026,pool_12,7,SIU Aiden,2,DOELL Ethan,14,pool,V5,1,5,5,0,3286.0,2603.0,683.0,1,4,1.0,1.0
Feb NAC 2026,pool_12,7,SIU Aiden,3,QIU Zhaocheng,18,pool,D4,0,4,5,-1,3286.0,2426.0,860.0,0,5,1.0,1.0
Feb NAC 2026,pool_12,7,SIU Aiden,4,CHENG Ethan,21,pool,D3,0,3,5,-2,3286.0,2654.0,632.0,0,6,0.0,0.6666666666666666
Feb NAC 2026,pool_12,1,ZHANG Jacob,7,SIU Aiden,4,pool,D1,0,1,5,-4,2352.0,3286.0,-934.0,0,2,0.0,0.0
Feb NAC 2026,pool_12,1,ZHANG Jacob,5,NEWMAN Noah,8,pool,V5,1,5,5,0,2352.0,1691.0,661.0,1,3,0.0,0.0
Feb NAC 2026,pool_12,1,ZHANG Jacob,3,QIU Zhaocheng,12,pool,V5,1,5,5,0,2352.0,2426.0,-74.0,1,4,1.0,0.3333333333333333
Feb NAC 2026,pool_12,1,ZHANG Jacob,6,CHO Xzander,16,pool,V5,1,5,5,0,2352.0,1952.0,400.0,1,5,1.0,0.6666666666666666
Feb NAC 2026,pool_12,1,ZHANG Jacob,2,DOELL Ethan,20,pool,D4,0,4,5,-1,2352.0,2603.0,-251.0,0,6,1.0,1.0
Feb NAC 2026,pool_13,6,ALLEN Henry G.,7,LIU Derek,7,pool,D2,0,2,5,-3,2327.0,2799.0,-472.0,0,2,1.0,1.0
Feb NAC 2026,pool_13,6,ALLEN Henry G.,2,WEI Qiancheng (Matt),10,pool,D1,0,1,5,-4,2327.0,2903.0,-576.0,0,3,0.0,0.5
Feb NAC 2026,pool_13,6,ALLEN Henry G.,4,WONG Jacob W.,13,pool,V5,1,5,5,0,2327.0,2065.0,262.0,1,4,0.0,0.3333333333333333
Feb NAC 2026,pool_13,6,ALLEN Henry G.,1,CHEN Matthew,16,pool,D0,0,0,5,-5,2327.0,2732.0,-405.0,0,5,1.0,0.3333333333333333
